nombre,mes,ffmc,dmc,dc,isi,bui,fwi
San Andrés Semetabaj,1,84.89445061847748,6.592252394933338,17.346203007699742,2.6492105575855174,6.760929543093015,3.880964309078714
Sololá,1,84.68614644109515,6.562631413757548,17.212794327630746,2.543131994946364,6.7200071475854655,3.362239613540167
Concepción,1,84.6750893634795,6.572333125313228,17.241482442872858,2.5547781756057786,6.7305580160307406,3.4282506597819684
Panajachel,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Santa Catarina Palopó,1,83.99902331881394,6.634909930276929,17.541826054656568,2.287645965407698,6.820426389414164,2.5100532195397776
San Antonio Palopó,1,84.18080850456744,6.675104049189369,17.667201200366474,2.35965747762578,6.865362300788789,2.827511342880672
Nahualá,1,81.39418592494572,6.614130704791046,17.49787441546014,1.7023962725657174,6.8008179471362,1.375396163251074
Santa Lucía Utatlán,1,84.38088310797656,6.570769194198872,17.213873429561175,2.4292245089456967,6.724472335904539,2.9519190959447035
San José Chacayá,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Santa Cruz La Laguna,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
San Marcos La Laguna,1,84.28563319080516,6.598724276735963,17.366505886165786,2.399245043193572,6.768138693821469,2.8642126306150466
Santa Catarina Ixtahuacán,1,81.94229633798514,6.661185947580781,17.613831911841626,1.6973411428266414,6.847644442690915,1.1241498467230708
San Pablo La Laguna,1,84.1984423588132,6.606171046613077,17.404713051476996,2.3656964706625976,6.779299879059474,2.753262170574005
Santa Clara La Laguna,1,83.18809549927575,6.627619809221756,17.433787021729888,1.9829673673717143,6.79606594570822,1.477017678543625
Santa María Visitación,1,82.68358748024859,6.687835086376693,17.73371420449816,1.813202553230309,6.884677444252138,0.9777873056010356
San Juan La Laguna,1,82.51786587744503,6.710872665168973,17.844552077237402,1.779712434484265,6.917719343514808,1.026644047905406
San Pedro La Laguna,1,82.18434368412913,6.762274628916727,18.093251095761044,1.7281893726865365,6.991649495497341,1.276859068676391
Santiago Atitlán,1,81.41585543608126,6.82292169010957,18.326100558189665,1.523025849017993,7.067525359481712,0.9336334302171936
San Lucas Tolimán,1,81.70703922792055,6.811803232358881,18.268217819179927,1.5730553252836046,7.050820612040965,0.8645147542458979
San Andrés Semetabaj,2,84.78305872788597,6.801454491302051,17.46015080103889,2.592536530611842,6.891546419821802,3.786351587461544
Sololá,2,83.39779817405824,6.758766176051535,17.322511500293746,2.138022355573446,6.842826587700868,2.0356967243469173
Concepción,2,83.44343113660726,6.768145307891742,17.349792380114774,2.167348782198247,6.852954263950565,2.187022330013525
Panajachel,2,83.06347112885169,6.766860913166602,17.341270372694044,2.0415919052263383,6.850634417660175,1.710310204395056
Santa Catarina Palopó,2,83.20048164170095,6.840669294073202,17.643723139308918,2.04262035117569,6.9473464603617305,1.826099846678368
San Antonio Palopó,2,84.57988435350255,6.909754477062998,17.781212427966082,2.4399765387788324,7.009639182321969,3.209340119513736
Nahualá,2,78.4543437648616,6.808218096783167,17.593205609879078,1.323618268955906,6.920621532975873,0.8808998545234571
