nombre,year,ndvi,evi2,nirv
San Andrés Semetabaj,2015,0.6832448506740221,0.3576470597597022,0.1656928409380622
Sololá,2015,0.7030533245920072,0.394479530682394,0.18863822274255
Concepción,2015,0.722998383149571,0.4003590240726636,0.1921562726323231
Panajachel,2015,0.6473297798547433,0.3475908732933724,0.1617509323113522
Santa Catarina Palopó,2015,0.7072974316512252,0.3640925181684242,0.1684836963991464
San Antonio Palopó,2015,0.6864506152561864,0.3837233984709605,0.1820314348227189
Nahualá,2015,0.736058833581272,0.4080708072513746,0.1991084508563045
Santa Lucía Utatlán,2015,0.7072915744981976,0.3639239311665321,0.1695592106354287
San José Chacayá,2015,0.7162147217048004,0.3915383254505503,0.1858259200464841
Santa Cruz La Laguna,2015,0.7369970412410448,0.4386123308663364,0.2158262539868193
San Marcos La Laguna,2015,0.7697054165716163,0.471740115418415,0.2366400741894598
Santa Catarina Ixtahuacán,2015,0.808273092621557,0.4776085059082209,0.2407326483455866
San Pablo La Laguna,2015,0.786712859385331,0.4933679086309832,0.2514421460399811
Santa Clara La Laguna,2015,0.7721624750718854,0.4563935232904086,0.2265389973161839
Santa María Visitación,2015,0.823325922330419,0.46165906723341,0.2305618151023139
San Juan La Laguna,2015,0.7925427096794453,0.4477783520508362,0.2215422628943234
San Pedro La Laguna,2015,0.8033242578868346,0.4616437153532369,0.2303569045067768
Santiago Atitlán,2015,0.8139311141607778,0.4550862814285568,0.2261140131743664
San Lucas Tolimán,2015,0.7990324682144553,0.4904936142297058,0.2481149230686042
San Andrés Semetabaj,2016,0.6392393892302534,0.3196389345329643,0.1433163799266777
Sololá,2016,0.6499181535146328,0.3524536010954141,0.1634850226322117
Concepción,2016,0.6880136551020152,0.3620649205092855,0.1682603514226937
Panajachel,2016,0.624628095855292,0.3181099846355192,0.144154540733245
Santa Catarina Palopó,2016,0.627391351251761,0.2890773625604474,0.1260846939528496
San Antonio Palopó,2016,0.6484544437409702,0.3325765520536298,0.1517837644927773
Nahualá,2016,0.7092745126595321,0.3919659076346872,0.1892564989339256
Santa Lucía Utatlán,2016,0.6536748872644702,0.3412891209873639,0.1569340432917438
San José Chacayá,2016,0.6669634642037641,0.3621048260525847,0.1688363875065995
Santa Cruz La Laguna,2016,0.660356218682928,0.3777674424034445,0.178867632529285
San Marcos La Laguna,2016,0.7221621718645166,0.4238371919768065,0.2060397904126076
Santa Catarina Ixtahuacán,2016,0.797270262808654,0.4669832744225048,0.2337653325033934
San Pablo La Laguna,2016,0.7489047753976602,0.4540534054355196,0.2252299977174149
Santa Clara La Laguna,2016,0.7441236684310962,0.420594800135044,0.2036105975956498
Santa María Visitación,2016,0.8191596752435252,0.4461095713341772,0.2201022701916893
San Juan La Laguna,2016,0.7857068777699878,0.4309515819145275,0.2105600205621968
San Pedro La Laguna,2016,0.7911332466634858,0.4402824521136361,0.2166056704564265
Santiago Atitlán,2016,0.809831665986678,0.4454022048476765,0.2198441578880994
San Lucas Tolimán,2016,0.7954777853143821,0.4792761671008795,0.2406285605188005
San Andrés Semetabaj,2017,0.6058832715166377,0.2999383385208969,0.1328155345429734
Sololá,2017,0.6471208033217916,0.3400805163568263,0.1558408210893083
Concepción,2017,0.6501392528137095,0.3389654592004432,0.1552263520548757
Panajachel,2017,0.5783865473563873,0.2950746312509313,0.1317405717020443
Santa Catarina Palopó,2017,0.6350577044708706,0.3016673765238488,0.1334624516112474
San Antonio Palopó,2017,0.6489393451840647,0.3372788946674184,0.1550928808671707
Nahualá,2017,0.7013833517215248,0.3813318378132942,0.1829909892580668
Santa Lucía Utatlán,2017,0.6399962437358722,0.3209902844670665,0.1448786509999378
San José Chacayá,2017,0.6593886868999352,0.3507022971440514,0.1616594613759026
Santa Cruz La Laguna,2017,0.67760555200978,0.3926172854376258,0.1877127784177002
San Marcos La Laguna,2017,0.7213119271651716,0.4234826433026158,0.2054072677236356
Santa Catarina Ixtahuacán,2017,0.7872158513634172,0.4479964881795393,0.2209763143996773
San Pablo La Laguna,2017,0.7400922106056421,0.4461777642321484,0.220647015328546
Santa Clara La Laguna,2017,0.7361450617819334,0.4031244918929203,0.1926177381625032
Santa María Visitación,2017,0.8132287095912736,0.4354249130256407,0.2126894216575909
San Juan La Laguna,2017,0.7698948176802582,0.4100170119895078,0.1974184605477278
San Pedro La Laguna,2017,0.7846928379946608,0.4211590755230966,0.2042086456138246
Santiago Atitlán,2017,0.793985322698891,0.4187263593056355,0.2026718173027364
San Lucas Tolimán,2017,0.7744429453271735,0.451367575923717,0.2223681458633093
San Andrés Semetabaj,2018,0.6615679896634399,0.3440047772483003,0.1577470407856698
Sololá,2018,0.6974455876190111,0.3786170636490178,0.1785848896418809
Concepción,2018,0.7087410618050984,0.3819195187618823,0.180557827727697
Panajachel,2018,0.6251558545510492,0.3281632297225485,0.1504895456901875
Santa Catarina Palopó,2018,0.6684222921250398,0.3265964992728523,0.1470546621699521
San Antonio Palopó,2018,0.6584314329509612,0.3567015859227592,0.1666925857226605
Nahualá,2018,0.7364805912245946,0.4065756706864796,0.1970324759061047
Santa Lucía Utatlán,2018,0.7126061171566573,0.3739482474778554,0.1751271500872744
San José Chacayá,2018,0.7235231457131323,0.3994562597066134,0.1904789782797795
Santa Cruz La Laguna,2018,0.7290031665593969,0.4388470851805517,0.2165952955807415
San Marcos La Laguna,2018,0.7830906018217417,0.4847889830730271,0.2452298410104529
Santa Catarina Ixtahuacán,2018,0.8022743202409587,0.4695992452837815,0.2349468023087736
San Pablo La Laguna,2018,0.7944633253494596,0.4945836217505396,0.2516356460249177
Santa Clara La Laguna,2018,0.7763312785235738,0.4433248316637686,0.2174567678962043
Santa María Visitación,2018,0.8223218365141756,0.4485731304822623,0.2208265008787329
San Juan La Laguna,2018,0.7919045172665944,0.4352825411492532,0.2126011430023468
San Pedro La Laguna,2018,0.7958545604574772,0.4384241286637862,0.2145008284132686
Santiago Atitlán,2018,0.8025446308908726,0.4431770642513164,0.2176549562448891
San Lucas Tolimán,2018,0.7684503999604806,0.4678458961877069,0.233963003017574
San Andrés Semetabaj,2019,0.6070561492177106,0.3044442267440244,0.1350905832834029
Sololá,2019,0.6511439622027758,0.3480098215199532,0.1606157789178416
Concepción,2019,0.6685066174120384,0.3563633073163662,0.1648832146218788
Panajachel,2019,0.6131019152396768,0.3271111727098259,0.1497719304043476
Santa Catarina Palopó,2019,0.6384901514007908,0.3111649377990633,0.138070099889717
San Antonio Palopó,2019,0.617154334658478,0.3227876617051272,0.1466789160971134
Nahualá,2019,0.7233498139909557,0.4019204961372373,0.1950501197946827
Santa Lucía Utatlán,2019,0.6776274631072826,0.3526787980781427,0.1630889540617068
San José Chacayá,2019,0.7171197808338706,0.3971129989691699,0.1883977961602093
Santa Cruz La Laguna,2019,0.7159789554954255,0.4132151641753522,0.1998041443335677
San Marcos La Laguna,2019,0.7621542528522874,0.4646854338661682,0.2317827704549171
Santa Catarina Ixtahuacán,2019,0.8050694928792578,0.4777993450093176,0.2405144281566223
San Pablo La Laguna,2019,0.778277818574411,0.4865439128310704,0.2464185366198835
Santa Clara La Laguna,2019,0.7617557859839065,0.4325178708192568,0.211025613113773
Santa María Visitación,2019,0.8229060896445708,0.455787437755963,0.2253207045364881
San Juan La Laguna,2019,0.7908884836950665,0.4334595833179001,0.2115112511423673
San Pedro La Laguna,2019,0.79491359453238,0.4363677582717202,0.2133086988020697
Santiago Atitlán,2019,0.8096485423104492,0.4571615821981049,0.2264715992959487
San Lucas Tolimán,2019,0.7891881620714064,0.4816545430564614,0.2422556835858473
San Andrés Semetabaj,2020,0.6222146888519665,0.3093989856977892,0.1376944237651066
Sololá,2020,0.6296426291516505,0.3318645704281127,0.1516339643137529
Concepción,2020,0.6840670208987234,0.3567835133299573,0.1654605877071202
Panajachel,2020,0.6005260347799238,0.3031476333074536,0.1358498261833237
Santa Catarina Palopó,2020,0.613908172798041,0.2833616302022064,0.1226146474343815
San Antonio Palopó,2020,0.6356613959931688,0.3305029937700121,0.1510010424121639
Nahualá,2020,0.6978240068830833,0.382644720734246,0.1847622172361948
Santa Lucía Utatlán,2020,0.6228792465475882,0.3204415282179071,0.1454793008718654
San José Chacayá,2020,0.6427382785169217,0.3423736129731242,0.1574456228546005
Santa Cruz La Laguna,2020,0.6403485678490393,0.3582133186030419,0.1668807284549706
San Marcos La Laguna,2020,0.7030129826869371,0.4048952958173575,0.1943881274318298
Santa Catarina Ixtahuacán,2020,0.7806180335891116,0.4464793157740459,0.2206944901684634
San Pablo La Laguna,2020,0.7160029653009109,0.4197908943203031,0.2037706040186583
Santa Clara La Laguna,2020,0.7114666428279498,0.3838661377675235,0.1812648398182982
Santa María Visitación,2020,0.8077636312522118,0.431801240720319,0.2109135572960263
San Juan La Laguna,2020,0.7697129166848644,0.423886366257165,0.2059253171003559
San Pedro La Laguna,2020,0.7729962226088809,0.4248372316324519,0.2067486738205706
Santiago Atitlán,2020,0.805145626778705,0.4467012855647959,0.2199917524720653
San Lucas Tolimán,2020,0.772836878881632,0.4664367828483353,0.2322937795095084
San Andrés Semetabaj,2021,0.721816884041234,0.3764889718625898,0.1761978525203922
Sololá,2021,0.7224290249145359,0.3902338214065801,0.1853132408497086
Concepción,2021,0.7492057867309797,0.4060351386269574,0.1952472080339508
Panajachel,2021,0.6777174437864407,0.3635911458269373,0.1709904646455926
Santa Catarina Palopó,2021,0.7538333332469775,0.3999369958306343,0.1902195492536647
San Antonio Palopó,2021,0.7407617042471508,0.4059634321909574,0.1951495446362586
Nahualá,2021,0.7658953522991073,0.4283332886589864,0.2109503704856952
Santa Lucía Utatlán,2021,0.7200265718657219,0.3740612115218677,0.1756035707191055
San José Chacayá,2021,0.7420632926793385,0.3993825413045673,0.1903854899673015
Santa Cruz La Laguna,2021,0.7690672667109492,0.4661967845016485,0.2332937407707883
San Marcos La Laguna,2021,0.7888394858516198,0.4771671696418117,0.2392748383063669
Santa Catarina Ixtahuacán,2021,0.8289447804647213,0.4846673817782278,0.2453075041430593
San Pablo La Laguna,2021,0.7919402251014581,0.4909062171919178,0.2491735381177105
Santa Clara La Laguna,2021,0.7897595077580262,0.44551302215854,0.2195002517287804
Santa María Visitación,2021,0.8350116959412989,0.4474579524232798,0.221244284897844
San Juan La Laguna,2021,0.8074042906583137,0.4395413483168408,0.2160212162191383
