nombre,year,ndvi,evi2,nirv
Tolimán,2015,0.7712956945608026,0.4534966994879536,0.224225409963562
Jaibalito,2015,0.7325891967207061,0.4459903941907857,0.2202782976285009
La Catarata,2015,0.6018643515492182,0.3365573171811853,0.1550553998257675
Palopó,2015,0.7017836797961228,0.3657239114820146,0.1702875881939718
San Buenaventura,2015,0.6398539414031835,0.364326344994207,0.1708467336448969
San Juan La Laguna,2015,0.7798865100688978,0.4529064236557492,0.2247190429178824
San Marcos La Laguna,2015,0.78604680997996,0.4679199716045538,0.2337742212163685
San Pablo La Laguna,2015,0.7844537689812051,0.4826122505076711,0.2441497587050876
San Pedro La Laguna,2015,0.7762162863172065,0.4303002782271038,0.2097390491032966
Nimayá - Xepec,2015,0.7071064767271905,0.3665295216634904,0.16985308741576
Santa Cruz La Laguna,2015,0.7372504486401397,0.4352123633464508,0.2143292033622967
Santiago Atitlán,2015,0.7394384719091658,0.3470000317931861,0.1596759283463515
Cerro De Oro,2015,0.7862697912641831,0.4147468333526753,0.1988770223259985
San Antonio Chacayá,2015,0.8039607242381465,0.4953345254070655,0.2519708936220354
Chukumuk,2015,0.7387379943079389,0.3853444306986012,0.18072570464386
Panabaj,2015,0.8045870331432972,0.4219618304532637,0.2036725710658911
Cerro Chuitinamit,2015,0.7565011827508257,0.4465439283841451,0.2202483178141944
Tzununá,2015,0.7618221834328285,0.4540491048692615,0.2246167403995944
Barreneché - María Tecún,2015,0.7584627501557988,0.4100586603252718,0.1963024261518873
Argueta,2015,0.7320819094615035,0.3718549493924402,0.1732991490220281
Chaquijyá,2015,0.7127816462637614,0.4154379045780712,0.2010160760614245
Xibalbay,2015,0.6925162990413309,0.3949971083238527,0.1894264904091433
Parracaná,2015,0.6898618534632573,0.3589369057010045,0.1668148429537177
El Novillero,2015,0.6754265122799578,0.3413884943134116,0.1561059610323391
Chuiescalera,2015,0.7331993590262033,0.4007227259023314,0.1910777048730289
Pamachá,2015,0.6874315356291163,0.3453845322089547,0.1585334397887863
Río Quiscab,2015,0.6791355842097045,0.3896253752424188,0.1871727330253579
Pujujil,2015,0.7221488550146485,0.3885522793286851,0.1843716018187919
Pujujilito,2015,0.7408621643178263,0.3921238529839279,0.1863087278463133
Xajaxak,2015,0.6687774682626477,0.3579599348443693,0.1662944034945339
Patzutzún,2015,0.7103064492597925,0.3678674955297316,0.1716656145977959
Concepción,2015,0.6731956404703846,0.3920337435916224,0.1885143032125192
Panasacar,2015,0.7511662193418406,0.3914765676938732,0.1858694418350656
