nombre,year,loss_ha
San Lucas Tolimán,2008,19.70448593726064
San Andrés Semetabaj,2009,7.6910278660433935
Sololá,2009,8.008892559814454
Concepción,2009,5.550241162396596
Panajachel,2009,1.529703479003906
Santa Catarina Palopó,2009,3.2241898328115424
San Antonio Palopó,2009,2.5194409912109377
Nahualá,2009,28.295159702794702
Santa Lucía Utatlán,2009,3.503008613879633
San José Chacayá,2009,6.845739024155563
Santa Cruz La Laguna,2009,0.7199238647460936
San Marcos La Laguna,2009,0.0
Santa Catarina Ixtahuacán,2009,13.735615200123512
San Pablo La Laguna,2009,0.0
Santa Clara La Laguna,2009,0.8099875061035156
Santa María Visitación,2009,1.685988821949678
San Juan La Laguna,2009,9.38251735263002
San Pedro La Laguna,2009,6.119698510742188
Santiago Atitlán,2009,21.49728484968597
San Lucas Tolimán,2009,17.006828253173826
San Andrés Semetabaj,2010,24.658125752982343
Sololá,2010,9.920746932396984
Concepción,2010,2.5953736690745632
Panajachel,2010,0.4050971183268229
Santa Catarina Palopó,2010,0.0
San Antonio Palopó,2010,2.519432049560548
Nahualá,2010,18.092074401855463
Santa Lucía Utatlán,2010,3.329772698974609
San José Chacayá,2010,5.399519097900392
Santa Cruz La Laguna,2010,0.17998515625
San Marcos La Laguna,2010,0.4499697631835938
Santa Catarina Ixtahuacán,2010,11.250706823730468
San Pablo La Laguna,2010,2.406962379246132
Santa Clara La Laguna,2010,1.9887786409265853
Santa María Visitación,2010,3.88231998082778
San Juan La Laguna,2010,2.429926391601562
San Pedro La Laguna,2010,1.3499354370117187
Santiago Atitlán,2010,2.39305109911152
San Lucas Tolimán,2010,25.14190706128888
San Andrés Semetabaj,2011,8.817773767089843
Sololá,2011,6.659107507324219
Concepción,2011,1.7096553344726566
Panajachel,2011,0.8288971862074908
Santa Catarina Palopó,2011,0.4305040475882736
San Antonio Palopó,2011,1.349704327392578
Nahualá,2011,23.44966778562059
Santa Lucía Utatlán,2011,3.8697099609375
San José Chacayá,2011,1.7098260437011716
Santa Cruz La Laguna,2011,1.0798853698730466
San Marcos La Laguna,2011,0.1799881103515625
Santa Catarina Ixtahuacán,2011,8.781025615569469
San Pablo La Laguna,2011,0.0
Santa Clara La Laguna,2011,1.1699748413085935
Santa María Visitación,2011,2.6999990966796874
San Juan La Laguna,2011,2.2499628967285163
San Pedro La Laguna,2011,3.3298731384277347
Santiago Atitlán,2011,7.019483001708984
San Lucas Tolimán,2011,29.472014948945883
San Andrés Semetabaj,2012,11.311525938864316
Sololá,2012,16.259480180592256
Concepción,2012,2.570676989722158
Panajachel,2012,1.706495425594554
Santa Catarina Palopó,2012,2.9722361055261945
San Antonio Palopó,2012,3.2318353007477403
Nahualá,2012,56.85628694723698
Santa Lucía Utatlán,2012,5.399674768066406
San José Chacayá,2012,4.857059544366575
Santa Cruz La Laguna,2012,0.0
San Marcos La Laguna,2012,0.8999392211914061
Santa Catarina Ixtahuacán,2012,35.98447376156078
San Pablo La Laguna,2012,0.2699882812499999
Santa Clara La Laguna,2012,2.4299590881347664
Santa María Visitación,2012,7.200757210071039
San Juan La Laguna,2012,8.151001578871782
San Pedro La Laguna,2012,9.450917769200942
Santiago Atitlán,2012,17.118876277549596
San Lucas Tolimán,2012,61.054182767717
San Andrés Semetabaj,2013,3.329212371826172
Sololá,2013,0.35995439453125
Concepción,2013,1.743161994150199
Panajachel,2013,0.0
Santa Catarina Palopó,2013,0.0
San Antonio Palopó,2013,0.6298471740722656
Nahualá,2013,11.619161997285731
Santa Lucía Utatlán,2013,0.7361824589987362
San José Chacayá,2013,8.459234649658201
Santa Cruz La Laguna,2013,0.0
San Marcos La Laguna,2013,0.2699826293945312
Santa Catarina Ixtahuacán,2013,2.2180491955087698
San Pablo La Laguna,2013,0.0
Santa Clara La Laguna,2013,0.0
Santa María Visitación,2013,0.3589443166934742
San Juan La Laguna,2013,0.859404051322189
San Pedro La Laguna,2013,2.6098417541503904
Santiago Atitlán,2013,10.302227783705767
San Lucas Tolimán,2013,7.649553891745175
San Andrés Semetabaj,2014,4.527113994786879
Sololá,2014,1.979697985839844
Concepción,2014,1.5296776245117187
Panajachel,2014,0.0
Santa Catarina Palopó,2014,0.0
San Antonio Palopó,2014,1.349682452392578
Nahualá,2014,17.494610644842407
Santa Lucía Utatlán,2014,0.17998857421875
San José Chacayá,2014,0.8999180969238281
Santa Cruz La Laguna,2014,0.0899916687011718
San Marcos La Laguna,2014,0.0
Santa Catarina Ixtahuacán,2014,8.972545172047337
San Pablo La Laguna,2014,0.0
Santa Clara La Laguna,2014,0.0
Santa María Visitación,2014,0.2700031311035156
San Juan La Laguna,2014,1.7099607299804689
San Pedro La Laguna,2014,5.579690264892578
Santiago Atitlán,2014,18.374060369154986
San Lucas Tolimán,2014,14.896288158605238
San Andrés Semetabaj,2015,7.2882417236328125
Sololá,2015,0.6298857482910156
Concepción,2015,3.689226062011719
Panajachel,2015,0.1799656982421875
Santa Catarina Palopó,2015,0.0
San Antonio Palopó,2015,1.1697264221191404
Nahualá,2015,3.870171643066406
Santa Lucía Utatlán,2015,0.7199685668945313
San José Chacayá,2015,1.349851153564453
Santa Cruz La Laguna,2015,1.5298544250488282
San Marcos La Laguna,2015,0.0
Santa Catarina Ixtahuacán,2015,3.782403733340993
San Pablo La Laguna,2015,0.0
Santa Clara La Laguna,2015,0.0
Santa María Visitación,2015,0.2699977294921875
San Juan La Laguna,2015,2.2033821775189564
San Pedro La Laguna,2015,1.577196956140855
Santiago Atitlán,2015,19.224361311465984
San Lucas Tolimán,2015,5.129028503417969
San Andrés Semetabaj,2016,9.931979527516084
Sololá,2016,3.419463006591797
Concepción,2016,2.969376391601563
Panajachel,2016,0.5398990356445312
Santa Catarina Palopó,2016,0.0
San Antonio Palopó,2016,2.249475787353515
Nahualá,2016,12.322175084779028
Santa Lucía Utatlán,2016,0.0899961181640625
San José Chacayá,2016,1.7998227600097656
Santa Cruz La Laguna,2016,0.2699716613769531
San Marcos La Laguna,2016,0.2699811462402344
Santa Catarina Ixtahuacán,2016,23.926662391764324
San Pablo La Laguna,2016,0.3599847717285156
Santa Clara La Laguna,2016,0.0
Santa María Visitación,2016,0.7200012451171874
San Juan La Laguna,2016,3.05992974243164
San Pedro La Laguna,2016,1.799887744140625
Santiago Atitlán,2016,26.458237432861317
San Lucas Tolimán,2016,40.79683827911976
San Andrés Semetabaj,2017,20.646501762264485
Sololá,2017,9.183961838307098
Concepción,2017,2.429490533447266
Panajachel,2017,0.8098478942871095
Santa Catarina Palopó,2017,0.2283050751091452
San Antonio Palopó,2017,4.409776240449792
Nahualá,2017,12.067170471191403
Santa Lucía Utatlán,2017,7.694469320331647
San José Chacayá,2017,2.204614297138289
Santa Cruz La Laguna,2017,0.0899891845703125
San Marcos La Laguna,2017,0.3599772094726562
Santa Catarina Ixtahuacán,2017,20.13862236395144
San Pablo La Laguna,2017,0.0899958251953125
Santa Clara La Laguna,2017,2.069990637207032
Santa María Visitación,2017,0.0
San Juan La Laguna,2017,19.709671783447263
San Pedro La Laguna,2017,53.755254787477966
Santiago Atitlán,2017,30.89908991634592
San Lucas Tolimán,2017,46.736641204786096
San Andrés Semetabaj,2018,13.367346415273625
Sololá,2018,4.766840364990233
Concepción,2018,1.9795972167968756
Panajachel,2018,0.9898089050292967
Santa Catarina Palopó,2018,0.0095274122529871
San Antonio Palopó,2018,1.2597176208496093
Nahualá,2018,4.05048892211914
Santa Lucía Utatlán,2018,5.039864233398437
San José Chacayá,2018,4.049623394775391
Santa Cruz La Laguna,2018,0.6299271545410157
San Marcos La Laguna,2018,0.0
Santa Catarina Ixtahuacán,2018,17.521762993235868
San Pablo La Laguna,2018,0.0899962890625
Santa Clara La Laguna,2018,3.1499146484375
Santa María Visitación,2018,0.0
San Juan La Laguna,2018,5.669936767578124
San Pedro La Laguna,2018,12.779204333496097
Santiago Atitlán,2018,22.56148853063246
San Lucas Tolimán,2018,52.02158681427603
San Andrés Semetabaj,2019,6.055005296247891
Sololá,2019,1.709769250488281
Concepción,2019,0.0
Panajachel,2019,0.0
Santa Catarina Palopó,2019,0.0
San Antonio Palopó,2019,2.0695687438964843
Nahualá,2019,18.13233344161689
Santa Lucía Utatlán,2019,0.5399733093261718
San José Chacayá,2019,0.4499572875976563
Santa Cruz La Laguna,2019,0.8099228698730468
San Marcos La Laguna,2019,0.0
Santa Catarina Ixtahuacán,2019,7.010140524088542
San Pablo La Laguna,2019,0.0
Santa Clara La Laguna,2019,0.7994025082337622
Santa María Visitación,2019,0.3705841861021752
San Juan La Laguna,2019,1.5299753906249998
San Pedro La Laguna,2019,8.099650506591798
Santiago Atitlán,2019,8.804434359465954
San Lucas Tolimán,2019,9.175509309919768
San Andrés Semetabaj,2020,4.35636404033586
Sololá,2020,1.1698439941406251
Concepción,2020,0.0
Panajachel,2020,0.0
Santa Catarina Palopó,2020,0.0
San Antonio Palopó,2020,0.6298689331054688
Nahualá,2020,11.44154061580882
Santa Lucía Utatlán,2020,0.4499872131347656
San José Chacayá,2020,1.1698865783691406
Santa Cruz La Laguna,2020,0.4499554931640625
San Marcos La Laguna,2020,0.0
Santa Catarina Ixtahuacán,2020,14.457129332131776
San Pablo La Laguna,2020,0.0
Santa Clara La Laguna,2020,0.9899812927246094
Santa María Visitación,2020,0.3600006713867187
San Juan La Laguna,2020,1.7099992675781253
San Pedro La Laguna,2020,4.1397874084472654
Santiago Atitlán,2020,5.887356431310317
San Lucas Tolimán,2020,19.04387215501973
San Andrés Semetabaj,2021,4.781211450674018
Sololá,2021,4.769466192626952
Concepción,2021,2.519481378173828
Panajachel,2021,0.0
Santa Catarina Palopó,2021,0.0
San Antonio Palopó,2021,1.3497064453125
Nahualá,2021,9.181039599609374
Santa Lucía Utatlán,2021,0.0
San José Chacayá,2021,0.1799833068847656
Santa Cruz La Laguna,2021,1.799831048583984
San Marcos La Laguna,2021,0.6299545898437501
Santa Catarina Ixtahuacán,2021,12.240848815917966
San Pablo La Laguna,2021,0.0
Santa Clara La Laguna,2021,0.6299898376464843
Santa María Visitación,2021,1.1700054565429685
San Juan La Laguna,2021,7.470070092773439
San Pedro La Laguna,2021,4.13979496459961
Santiago Atitlán,2021,31.606522675135
San Lucas Tolimán,2021,14.826825477677886
San Andrés Semetabaj,2022,7.222610809493718
Sololá,2022,4.229315954589843
Concepción,2022,4.499078637695314
Panajachel,2022,0.0
Santa Catarina Palopó,2022,1.5829662669462312
San Antonio Palopó,2022,0.0899812255859375
Nahualá,2022,9.552126820642808
Santa Lucía Utatlán,2022,0.3599822509765625
San José Chacayá,2022,0.6299315734863282
Santa Cruz La Laguna,2022,0.2699747497558594
San Marcos La Laguna,2022,0.0
Santa Catarina Ixtahuacán,2022,4.590370947265625
San Pablo La Laguna,2022,0.0
Santa Clara La Laguna,2022,0.3599947937011719
Santa María Visitación,2022,1.7099862854003904
San Juan La Laguna,2022,5.580040283203127
San Pedro La Laguna,2022,0.989938525390625
Santiago Atitlán,2022,18.26838844604492
San Lucas Tolimán,2022,24.65450098623236
San Andrés Semetabaj,2023,3.766405083318972
Sololá,2023,4.857823703134574
Concepción,2023,0.9897912292480469
Panajachel,2023,0.0
Santa Catarina Palopó,2023,1.1824733834779029
San Antonio Palopó,2023,22.76483308105469
Nahualá,2023,20.57290225461473
Santa Lucía Utatlán,2023,0.5209037090705423
San José Chacayá,2023,1.0086045980057063
Santa Cruz La Laguna,2023,0.0010586905445772
San Marcos La Laguna,2023,0.0
Santa Catarina Ixtahuacán,2023,26.16288937164905
San Pablo La Laguna,2023,0.0
Santa Clara La Laguna,2023,0.0
Santa María Visitación,2023,1.3499777526855463
San Juan La Laguna,2023,3.689992144775391
San Pedro La Laguna,2023,2.789882354736328
Santiago Atitlán,2023,12.05910439453125
San Lucas Tolimán,2023,26.87036665424421
