nombre,mes,ffmc,dmc,dc,isi,bui,fwi
Tolimán,1,82.20247366439705,6.766806332960783,18.095464380488146,1.7049763593473966,6.9945388292301365,1.0901908326525538
Jaibalito,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
La Catarata,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Palopó,1,84.14821347922827,6.670859159507181,17.65504231262208,2.360653017747808,6.860812983836924,2.9197425815708304
San Buenaventura,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
San Juan La Laguna,1,83.00544415187896,6.680122747757371,17.729867698521776,1.9257972132860837,6.8798770287345015,1.3318035382763669
San Marcos La Laguna,1,84.32328377734714,6.59550862610721,17.350007337508668,2.4137319267864927,6.763319091105058,2.9121230565418603
San Pablo La Laguna,1,83.98465563803903,6.615508188900984,17.441135105884122,2.2845586484378626,6.791113736613429,2.4841518561862546
San Pedro La Laguna,1,83.53262145996544,6.663037289311031,17.696476859308067,2.109507371335157,6.864530748149699,1.9060041120787763
Nimayá - Xepec,1,84.17395036555634,6.63948140861348,17.548051492084568,2.3527534847085345,6.824032768317525,2.750234917145764
Santa Cruz La Laguna,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Santiago Atitlán,1,81.45476148391411,6.82033843984218,18.314377834152275,1.5019660884373125,7.064006778426801,0.8002856277030184
Cerro De Oro,1,83.134654787333,6.694083930264112,17.815849861883358,1.9884758127716895,6.903427841852585,1.6619210880837785
San Antonio Chacayá,1,81.2197816719732,6.833651755291397,18.379248610621204,1.4560028937239589,7.083195674429192,0.8325465803269162
Chukumuk,1,82.84486483427109,6.715473081501089,17.90141175675689,1.9065341801292304,6.930834611760503,1.527005768267924
Panabaj,1,81.28548753052293,6.831163589795547,18.362490131737506,1.462581916327167,7.078759434273491,0.7801336808410896
Cerro Chuitinamit,1,83.03514271311428,6.699735495201148,17.84333719826976,1.968942257282937,6.91156433606642,1.675109473173659
Tzununá,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Barreneché - María Tecún,1,84.98186831894178,6.525236980486119,17.128063642862212,2.6152226290581697,6.684258661811637,3.643810814556825
Argueta,1,85.03199528712105,6.519176260577543,17.114555293958563,2.627922493920144,6.678507421113412,3.694100757790399
Chaquijyá,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Xibalbay,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Parracaná,1,84.80818056326875,6.53793050810366,17.152506830696822,2.563039953511864,6.695569396660913,3.447508968599432
El Novillero,1,84.67793986349044,6.561984170823846,17.209967092584154,2.5382211575521056,6.719129426308887,3.338894213236425
Chuiescalera,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Pamachá,1,84.43859981550742,6.57339285256784,17.22526832296174,2.4557868067404094,6.728021458296436,3.0413046066650438
Río Quiscab,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Pujujil,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Pujujilito,1,84.84537406266918,6.571048155579874,17.254921579800666,2.631261377048095,6.732441524122018,3.7770238052771408
Xajaxak,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Patzutzún,1,84.88011805517493,6.570785977128148,17.257663630465963,2.6468666063515705,6.732825825185584,3.848185639610808
Concepción,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Panasacar,1,84.88740451907638,6.57073099341193,17.258238689684774,2.6501393142873377,6.732906420293545,3.863109604867485
Patanatic - Pamuch,1,84.8831107099916,6.570763394530415,17.257899815502263,2.6482107542537605,6.732858926747782,3.8543151253412287
San Francisco,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Tzalá,1,84.77118541984805,6.571607983685612,17.24906649514476,2.59793962271185,6.731620928321576,3.625072359023485
Panajachel,1,84.58683788314104,6.572999071705937,17.23451749690887,2.515140111936938,6.729581872090177,3.247496038029555
Tolimán,2,83.37528664000715,7.028581478181004,18.204967045744358,1.9357320647796672,7.153040550396108,1.5468531179149407
Jaibalito,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
La Catarata,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Palopó,2,84.43750221011291,6.9026855630980615,17.767879499465028,2.404723847679519,7.00340488039045,3.105892859602746
